Area Type,Area,Area Name,Standard Occupational Code,Occupational Title,Employment,Mean Wage,Median Wage,Entry Wage,Experienced Wage
10,1,Capital Region, 27-2022, Coaches and Scouts,640,58640,49380,32220,71850
10,4,Hudson Valley Region, 45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",280,33230,31810,25130,37280
10,3,Finger Lakes Region, 53-7081, Refuse and Recyclable Material Collectors,300,38200,36490,25760,44420
1,36,New York State, 49-9096, Riggers,n/a,77090,68400,49990,90640
10,9,Southern Tier Region, 47-2051, Cement Masons and Concrete Finishers,70,48090,41200,34590,54840
10,7,New York City Region, 17-0000,Architecture and Engineering Occupations,37860,94730,84500,58160,113020
10,7,New York City Region, 41-2021, Counter and Rental Clerks,9760,29990,24960,24960,34280
10,7,New York City Region, 53-1048,,8060,69140,68180,40540,83440
1,36,New York State, 41-3099," Sales Representatives, Services, All Other",68000,77850,63710,36420,98570
10,2,Central New York Region, 49-9069,"Precision Instrument and Equipment Repairers, All Other",n/a,54770,55010,46560,58870
1,36,New York State, 33-3051, Police and Sheriff's Patrol Officers,46940,75090,75360,47390,88940
1,36,New York State, 53-3022," Bus Drivers, School or Special Client",49390,41490,40890,29410,47540
10,5,Long Island Region, 51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",n/a,41180,42170,26360,48590
10,4,Hudson Valley Region, 17-3012, Electrical and Electronics Drafters,n/a,65220,56440,40510,77570
10,10,Western New York Region, 29-0000,Healthcare Practitioners and Technical Occupations,40320,80000,63990,39050,100480
10,7,New York City Region, 27-1021, Commercial and Industrial Designers,1510,72690,70410,36350,90850
10,10,Western New York Region, 51-2028,,2070,35060,32300,24990,40100
10,3,Finger Lakes Region, 53-7051, Industrial Truck and Tractor Operators,1450,36490,35590,27970,40740
10,3,Finger Lakes Region, 25-1191, Graduate Teaching Assistants,n/a,49930,49460,33100,58340
10,10,Western New York Region, 17-2131, Materials Engineers,60,77880,68250,52200,90720
1,36,New York State, 29-1127, Speech-Language Pathologists,12090,88770,80760,56530,104890
10,4,Hudson Valley Region, 45-2011, Agricultural Inspectors,n/a,59980,58290,42470,68730
10,7,New York City Region, 51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",n/a,40590,36960,33430,44170
10,6,Mohawk Valley Region, 25-1042," Biological Science Teachers, Postsecondary",150,73500,65960,53550,83470
10,10,Western New York Region, 53-6041, Traffic Technicians,n/a,60850,64660,36880,72840
10,9,Southern Tier Region, 49-9062, Medical Equipment Repairers,80,54510,50020,34020,64760
10,7,New York City Region, 33-0000,Protective Service Occupations,163370,51540,43840,24970,64820
10,6,Mohawk Valley Region, 21-1012,"Educational, Guidance, School, and Vocational Counselors",800,51360,49110,31920,61070
10,7,New York City Region, 25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",600,104650,92010,53770,130090
10,3,Finger Lakes Region, 51-8021, Stationary Engineers and Boiler Operators,240,60250,59560,46580,67080
10,9,Southern Tier Region, 19-1013, Soil and Plant Scientists,n/a,67760,62310,50810,76240
10,1,Capital Region, 47-2152," Plumbers, Pipefitters, and Steamfitters",1300,64930,67850,41980,76400
10,9,Southern Tier Region, 51-1011,First-Line Supervisors of Production and Operating Workers,1530,63480,60570,39650,75400
10,2,Central New York Region, 39-6012, Concierges,90,36640,34320,23150,43380
10,6,Mohawk Valley Region, 29-1125, Recreational Therapists,60,49760,46910,37600,55840
10,7,New York City Region, 49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",400,71830,72900,65440,75020
10,10,Western New York Region, 43-3011, Bill and Account Collectors,3700,32830,30720,24720,36880
10,9,Southern Tier Region, 29-1125, Recreational Therapists,60,56340,58040,38770,65120
10,3,Finger Lakes Region, 29-1161, Nurse Midwives,n/a,111410,112590,93830,120200
10,3,Finger Lakes Region, 25-2032,"Career/Technical Education Teachers, Secondary School",500,66530,64550,49580,75000
10,2,Central New York Region, 13-0000,Business and Financial Operations Occupations,13700,72820,66380,44160,87150
10,3,Finger Lakes Region, 31-9091, Dental Assistants,1160,38530,38030,27600,44000
10,3,Finger Lakes Region, 19-1029," Biological Scientists, All Other",n/a,69280,65710,44460,81690
10,3,Finger Lakes Region, 49-3011, Aircraft Mechanics and Service Technicians,50,61680,60760,42140,71460
10,3,Finger Lakes Region, 19-1031, Conservation Scientists,n/a,69470,64800,55230,76590
10,4,Hudson Valley Region, 29-9092, Genetic Counselors,n/a,82760,80240,75510,86380
10,10,Western New York Region, 41-1011, First-Line Supervisors of Retail Sales Workers,5210,45410,39830,29340,53450
10,1,Capital Region, 39-7010,Tour and Travel Guides,70,27820,25320,23130,30160
10,3,Finger Lakes Region, 51-6093, Upholsterers,n/a,41840,40430,30940,47290
10,3,Finger Lakes Region, 53-7199," Material Moving Workers, All Other",n/a,27820,24200,22630,30410
1,36,New York State, 51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",650,43990,44110,33100,49440
10,5,Long Island Region, 49-9061, Camera and Photographic Equipment Repairers,n/a,58240,59160,55240,59740
10,1,Capital Region, 47-2121, Glaziers,n/a,50190,54170,35690,57440
10,6,Mohawk Valley Region, 11-9161, Emergency Management Directors,n/a,77780,75970,53490,89930
10,9,Southern Tier Region, 43-0000,Office and Administrative Support Occupations,39320,37670,34400,24440,44290
1,36,New York State, 29-1011, Chiropractors,2030,91290,80330,66850,103510
10,2,Central New York Region, 33-9032, Security Guards,2020,47440,40240,25080,58620
10,3,Finger Lakes Region, 29-1021," Dentists, General",420,179670,158070,114550,212230
1,36,New York State, 39-9041, Residential Advisors,7920,34660,32040,24090,39950
10,2,Central New York Region, 25-1052," Chemistry Teachers, Postsecondary",130,78680,70410,47520,94260
10,5,Long Island Region, 39-5094, Skincare Specialists,780,47380,39390,28260,56950
10,7,New York City Region, 35-2012," Cooks, Institution and Cafeteria",5150,36700,35680,27190,41460
10,1,Capital Region, 53-7051, Industrial Truck and Tractor Operators,1400,38550,38080,28320,43660
10,5,Long Island Region, 25-1072," Nursing Instructors and Teachers, Postsecondary",640,102420,100620,62640,122320
10,8,North Country Region, 41-9022, Real Estate Sales Agents,30,78040,72570,42370,95870
10,4,Hudson Valley Region, 53-3041, Taxi Drivers and Chauffeurs,2180,35460,31200,23520,41430
10,7,New York City Region, 17-3029,"Engineering Technicians, Except Drafters, All Other",570,64150,60280,47600,72420
10,7,New York City Region, 35-2021, Food Preparation Workers,29580,28050,25820,24960,31300
10,3,Finger Lakes Region, 29-1141, Registered Nurses,12620,64920,63950,53220,70780
10,1,Capital Region, 33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service",720,23930,23280,21800,25000
10,9,Southern Tier Region, 41-3099," Sales Representatives, Services, All Other",860,56860,50130,31990,69290
1,36,New York State, 29-2033, Nuclear Medicine Technologists,1150,85850,84280,68320,94610
10,3,Finger Lakes Region, 43-4131, Loan Interviewers and Clerks,220,43030,40480,32490,48310
1,36,New York State, 51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",340,35380,36100,25110,40510
10,6,Mohawk Valley Region, 29-1061, Anesthesiologists,n/a,274560,,,
10,8,North Country Region, 29-1065," Pediatricians, General",n/a,146110,130290,109270,164530
10,6,Mohawk Valley Region, 33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service",90,25510,23150,21632,27740
10,5,Long Island Region, 27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",n/a,57860,58140,37250,68160
10,6,Mohawk Valley Region, 37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,240,46390,44820,33070,53050
10,5,Long Island Region, 29-2055, Surgical Technologists,800,59450,59510,46440,65960
10,2,Central New York Region, 43-3071, Tellers,860,30070,29700,23870,33170
10,7,New York City Region, 25-1063," Economics Teachers, Postsecondary",650,141550,132670,63060,180800
10,1,Capital Region, 39-9041, Residential Advisors,380,31690,30730,24780,35150
10,6,Mohawk Valley Region, 29-9091, Athletic Trainers,50,49930,48140,35470,57170
10,5,Long Island Region, 51-9196,"Paper Goods Machine Setters, Operators, and Tenders",740,32180,28400,22880,36850
10,10,Western New York Region, 29-2061, Licensed Practical and Licensed Vocational Nurses,4890,42370,40910,34590,46250
10,8,North Country Region, 43-5041," Meter Readers, Utilities",30,50350,54130,30770,60130
10,9,Southern Tier Region, 27-2041, Music Directors and Composers,60,33120,21632,21632,39430
10,5,Long Island Region, 21-1029,"Social Workers, All Other",930,71390,71760,54340,79910
10,5,Long Island Region, 25-9031, Instructional Coordinators,940,75520,63940,38230,94170
10,5,Long Island Region, 51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",4230,48570,46220,29860,57930
1,36,New York State, 15-1121, Computer Systems Analysts,42500,105150,96750,64250,125600
1,36,New York State, 49-3042," Mobile Heavy Equipment Mechanics, Except Engines",2810,57730,55150,40320,66430
10,4,Hudson Valley Region, 25-1021," Computer Science Teachers, Postsecondary",260,99440,79780,52760,122770
10,4,Hudson Valley Region, 17-2041,Chemical Engineers,n/a,100700,95930,76200,112960
10,1,Capital Region, 43-4061," Eligibility Interviewers, Government Programs",620,47820,47540,38040,52720
1,36,New York State, 53-7071, Gas Compressor and Gas Pumping Station Operators,n/a,58980,60570,47910,64510
1,36,New York State, 15-1199," Computer Occupations, All Other",n/a,89930,89830,56280,106760
10,10,Western New York Region, 51-4111, Tool and Die Makers,960,58590,59490,42100,66840
10,1,Capital Region, 25-1021," Computer Science Teachers, Postsecondary",200,84580,69560,47990,102880
10,10,Western New York Region, 13-1071, Human Resources Specialists,1930,62530,59430,40590,73500
1,36,New York State, 43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",7700,35940,34530,23900,41970
1,36,New York State, 37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,12810,54630,54180,35920,63980
10,1,Capital Region, 43-9041, Insurance Claims and Policy Processing Clerks,880,45000,43830,32590,51200
10,5,Long Island Region, 17-2031, Biomedical Engineers,n/a,101260,105130,75880,113960
10,10,Western New York Region, 19-0000,"Life, Physical, and Social Science Occupations",5080,58780,50300,27040,74650
10,1,Capital Region, 47-4051, Highway Maintenance Workers,2080,41470,41300,33160,45620
10,10,Western New York Region, 19-2012, Physicists,n/a,148590,140710,54810,195480
10,7,New York City Region, 17-2072," Electronics Engineers, Except Computer",570,108900,107160,68860,128920
10,7,New York City Region, 13-2041, Credit Analysts,5670,137870,122980,74840,169390
10,9,Southern Tier Region, 29-1171, Nurse Practitioners,420,100620,96230,79550,111160
10,4,Hudson Valley Region, 43-9011, Computer Operators,470,43350,39790,31590,49230
10,7,New York City Region, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2760,102650,75910,44150,131900
10,1,Capital Region, 43-3071, Tellers,1420,30130,29770,25100,32650
10,9,Southern Tier Region, 51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",160,34700,32040,24450,39820
10,5,Long Island Region, 49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,300,42380,42730,32240,47450
10,10,Western New York Region, 13-1131, Fundraisers,350,55980,52250,33770,67090
10,9,Southern Tier Region, 17-0000,Architecture and Engineering Occupations,6400,80100,74450,47740,96270
10,5,Long Island Region, 53-5011, Sailors and Marine Oilers,400,43570,37280,25970,52370
10,10,Western New York Region, 49-9044, Millwrights,230,60920,63320,41560,70600
10,5,Long Island Region, 29-1063," Internists, General",n/a,157990,127760,92370,190800
10,4,Hudson Valley Region, 43-5032," Dispatchers, Except Police, Fire, and Ambulance",1120,46690,40600,29250,55400
10,9,Southern Tier Region, 51-6021," Pressers, Textile, Garment, and Related Materials",70,23790,22970,21632,25190
10,4,Hudson Valley Region, 31-9095, Pharmacy Aides,170,36010,37070,24250,41880
10,9,Southern Tier Region, 29-1124, Radiation Therapists,n/a,74650,73090,61820,81060
1,36,New York State, 39-3012, Gaming and Sports Book Writers and Runners,590,29180,25490,21670,32940
10,10,Western New York Region, 53-3099," Motor Vehicle Operators, All Other",170,37570,34190,22910,44900
10,3,Finger Lakes Region, 29-1129," Therapists, All Other",60,56670,49970,41880,64060
10,1,Capital Region, 47-4011, Construction and Building Inspectors,570,60040,57190,39130,70500
10,1,Capital Region, 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",6030,59880,50750,29710,74970
10,6,Mohawk Valley Region, 39-7010,Tour and Travel Guides,n/a,31530,28400,23530,35520
10,10,Western New York Region, 39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",60,23920,22770,21632,25330
10,3,Finger Lakes Region, 11-9033," Education Administrators, Postsecondary",810,133140,112730,72080,163680
1,36,New York State, 47-3013,Helpers--Electricians,4260,38110,36000,26530,43910
10,8,North Country Region, 29-1031, Dietitians and Nutritionists,80,71220,69320,54990,79330
10,7,New York City Region, 29-1129," Therapists, All Other",300,66930,61300,50160,75320
10,9,Southern Tier Region, 49-3051, Motorboat Mechanics and Service Technicians,n/a,32680,31980,26600,35720
10,4,Hudson Valley Region, 51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",170,35630,35100,26910,39990
1,36,New York State, 21-1093, Social and Human Service Assistants,34760,36890,34990,25580,42550
10,9,Southern Tier Region, 13-2021, Appraisers and Assessors of Real Estate,200,50030,48030,38300,55900
10,2,Central New York Region, 27-4011, Audio and Video Equipment Technicians,380,43350,43980,26960,51540
1,36,New York State, 51-6093, Upholsterers,1220,41780,39320,28190,48570
10,10,Western New York Region, 27-1027, Set and Exhibit Designers,n/a,46260,43890,26640,56070
10,6,Mohawk Valley Region, 15-1142, Network and Computer Systems Administrators,330,69720,66560,47140,81020
10,9,Southern Tier Region, 25-2011," Preschool Teachers, Except Special Education",650,29570,23180,21632,34080
10,7,New York City Region, 27-3042, Technical Writers,1440,84180,77370,50890,100820
10,2,Central New York Region, 29-2010,Clinical Laboratory Technologists and Technicians,920,52100,53600,39150,58570
10,3,Finger Lakes Region, 37-0000,Building and Grounds Cleaning and Maintenance Occupations,17920,29960,27150,22480,33690
1,36,New York State, 51-9191, Adhesive Bonding Machine Operators and Tenders,270,34560,33360,27100,38290
1,36,New York State, 43-4199," Information and Record Clerks, All Other",4780,45470,44270,31270,52570
10,10,Western New York Region, 43-4061," Eligibility Interviewers, Government Programs",920,48930,50790,35670,55560
10,9,Southern Tier Region, 49-3052, Motorcycle Mechanics,n/a,31420,31760,24380,34940
10,8,North Country Region, 23-1011, Lawyers,290,104740,93530,66670,123780
10,6,Mohawk Valley Region, 51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",70,29980,27130,21810,34070
10,4,Hudson Valley Region, 25-1042," Biological Science Teachers, Postsecondary",370,101340,86010,55830,124100
10,2,Central New York Region, 53-7081, Refuse and Recyclable Material Collectors,180,33030,34390,23830,37620
10,2,Central New York Region, 51-5112, Printing Press Operators,470,41130,38820,28260,47560
10,5,Long Island Region, 51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",2070,35980,31360,23230,42350
10,1,Capital Region, 33-3051, Police and Sheriff's Patrol Officers,1990,67740,64540,45290,78960
10,8,North Country Region, 00-0000,"Total, All Occupations",149130,45010,36030,23020,56000
10,3,Finger Lakes Region, 43-4151, Order Clerks,370,35020,33200,23230,40910
10,1,Capital Region, 13-2081," Tax Examiners and Collectors, and Revenue Agents",1540,60540,57870,44140,68740
10,9,Southern Tier Region, 51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",240,34000,31400,24240,38880
10,10,Western New York Region, 15-1199," Computer Occupations, All Other",200,79280,77570,57990,89920
10,6,Mohawk Valley Region, 25-2032,"Career/Technical Education Teachers, Secondary School",220,56910,55660,40400,65170
10,5,Long Island Region, 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",12730,102670,108570,70500,118760
10,7,New York City Region, 49-9043," Maintenance Workers, Machinery",630,62900,59780,28180,80260
10,2,Central New York Region, 39-9032, Recreation Workers,910,31250,28160,22450,35650
10,6,Mohawk Valley Region, 17-2051, Civil Engineers,250,91160,80310,68950,102260
10,10,Western New York Region, 13-1161,Market Research Analysts and Marketing Specialists,2090,65370,60690,37040,79530
10,4,Hudson Valley Region, 29-1131, Veterinarians,650,125970,118980,74300,151810
10,5,Long Island Region, 25-1032," Engineering Teachers, Postsecondary",230,107260,96920,63610,129090
10,7,New York City Region, 51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",n/a,39550,38890,26040,46300
10,6,Mohawk Valley Region, 35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,460,27390,21632,21632,30650
10,9,Southern Tier Region, 47-0000,Construction and Extraction Occupations,9170,49030,45440,31020,58030
10,4,Hudson Valley Region, 53-6041, Traffic Technicians,n/a,52900,58050,24030,67330
10,9,Southern Tier Region, 49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",170,78260,83340,56970,88900
10,9,Southern Tier Region, 51-9111,Packaging and Filling Machine Operators and Tenders,750,36350,34080,25170,41940
10,2,Central New York Region, 11-3031,Financial Managers,720,146140,130080,88630,174900
10,3,Finger Lakes Region, 43-6012, Legal Secretaries,540,44060,40180,26080,53050
10,4,Hudson Valley Region, 31-9091, Dental Assistants,2010,44380,43690,33850,49650
10,9,Southern Tier Region, 33-3011, Bailiffs,100,60120,64930,38580,70890
10,3,Finger Lakes Region, 43-5052, Postal Service Mail Carriers,1400,50380,50580,36680,57230
10,3,Finger Lakes Region, 27-3031, Public Relations Specialists,920,54350,49140,30480,66280
10,3,Finger Lakes Region, 31-9093, Medical Equipment Preparers,170,33200,32330,26720,36440
10,1,Capital Region, 25-2021,"Elementary School Teachers, Except Special Education",3840,64280,63920,41720,75560
10,7,New York City Region, 43-4121," Library Assistants, Clerical",1770,31480,26660,24960,36720
10,2,Central New York Region, 29-1141, Registered Nurses,6600,65520,64160,50510,73030
10,1,Capital Region, 33-3041, Parking Enforcement Workers,n/a,31580,25080,23040,35860
10,7,New York City Region, 27-2012, Producers and Directors,19910,123400,103150,53570,158310
10,2,Central New York Region, 49-3041, Farm Equipment Mechanics and Service Technicians,100,40710,40450,29130,46500
10,8,North Country Region, 51-3021, Butchers and Meat Cutters,130,36610,35480,26950,41450
10,9,Southern Tier Region, 13-1131, Fundraisers,340,79300,71940,46630,95630
10,5,Long Island Region, 29-9011, Occupational Health and Safety Specialists,430,78050,76540,57570,88290
10,5,Long Island Region, 43-5041," Meter Readers, Utilities",n/a,53380,48070,36220,61960
10,5,Long Island Region, 53-3031, Driver/Sales Workers,n/a,30010,22880,22880,34510
1,36,New York State, 47-2231, Solar Photovoltaic Installers,820,42170,40020,34950,45780
10,9,Southern Tier Region, 43-9199,"Office and Administrative Support Workers, All Other",100,34980,32690,23220,40860
10,1,Capital Region, 51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",720,45630,44650,33030,51940
10,8,North Country Region, 25-1081," Education Teachers, Postsecondary",n/a,64740,62250,37450,78380
10,5,Long Island Region, 33-1099,"First-Line Supervisors of Protective Service Workers, All Other",950,62750,59240,41540,73350
10,5,Long Island Region, 13-1151, Training and Development Specialists,2260,70620,66290,42990,84440
10,2,Central New York Region, 49-9044, Millwrights,n/a,59040,59320,52920,62100
10,9,Southern Tier Region, 43-6013, Medical Secretaries,100,34430,34070,26480,38400
10,3,Finger Lakes Region, 25-1069,"Social Sciences Teachers, Postsecondary, All Other",n/a,65820,61920,49340,74060
10,9,Southern Tier Region, 29-9099,"Healthcare Practitioners and Technical Workers, All Other",n/a,96410,80620,69230,110010
10,10,Western New York Region, 11-2022, Sales Managers,1090,146030,124840,85660,176210
1,36,New York State, 11-3021, Computer and Information Systems Managers,26520,191640,172240,115040,229940
10,8,North Country Region, 51-9198, Helpers--Production Workers,210,26720,25070,21632,29390
10,4,Hudson Valley Region, 49-9052, Telecommunications Line Installers and Repairers,900,84600,92020,63080,95370
10,5,Long Island Region, 51-2098,"Assemblers and fabricators, all other, including team assemblers¿(OES-specific code and title)",6160,32280,28960,22880,37210
10,7,New York City Region, 43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,8020,38970,34940,24960,46830
10,3,Finger Lakes Region, 23-1022," Arbitrators, Mediators, and Conciliators",n/a,65810,53400,40330,78540
10,7,New York City Region, 25-2023,"Career/Technical  Education Teachers, Middle School",550,77150,72230,49870,90790
1,36,New York State, 51-8012, Power Distributors and Dispatchers,n/a,102560,102940,83620,112030
10,6,Mohawk Valley Region, 13-0000,Business and Financial Operations Occupations,7050,67520,59880,39390,81590
10,9,Southern Tier Region, 33-9091, Crossing Guards,150,27410,27330,22080,30070
10,7,New York City Region, 53-3021," Bus Drivers, Transit and Intercity",16730,64620,70030,45960,73940
10,7,New York City Region, 45-4011, Forest and Conservation Workers,n/a,33210,33550,24960,38610
10,1,Capital Region, 53-3033, Light Truck or Delivery Services Drivers,2320,37630,33520,23890,44510
10,1,Capital Region, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",n/a,95420,62790,53770,116250
10,8,North Country Region, 51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",190,32570,30500,25970,35860
10,10,Western New York Region, 31-9099," Healthcare Support Workers, All Other",580,32760,28610,21840,38230
10,5,Long Island Region, 13-2053, Insurance Underwriters,940,75160,69500,50050,87720
10,3,Finger Lakes Region, 19-1042," Medical Scientists, Except Epidemiologists",270,82480,66290,48250,99600
10,7,New York City Region, 51-6052," Tailors, Dressmakers, and Custom Sewers",860,33400,26870,24960,39660
10,3,Finger Lakes Region, 43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",600,48880,57610,34100,56270
10,3,Finger Lakes Region, 41-2022, Parts Salespersons,1110,32490,29440,22470,37500
10,2,Central New York Region, 11-9039," Education Administrators, All Other",n/a,107940,99940,70100,126860
10,1,Capital Region, 33-9032, Security Guards,2660,34960,31260,23300,40790
10,10,Western New York Region, 25-1082," Library Science Teachers, Postsecondary",n/a,78080,76920,40040,97090
10,7,New York City Region, 53-3033, Light Truck or Delivery Services Drivers,18960,39720,33540,24960,48310
10,10,Western New York Region, 51-8013, Power Plant Operators,100,78690,78610,49850,93100
10,7,New York City Region, 11-2031, Public Relations and Fundraising Managers,4500,181870,162330,103350,221130
10,3,Finger Lakes Region, 11-2011, Advertising and Promotions Managers,100,97120,84600,52340,119500
10,3,Finger Lakes Region, 29-1151, Nurse Anesthetists,50,174880,163750,151390,186620
10,6,Mohawk Valley Region, 29-2031, Cardiovascular Technologists and Technicians,70,51390,49120,27780,63200
10,7,New York City Region, 47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",n/a,79340,76220,70210,83900
10,9,Southern Tier Region, 19-2012, Physicists,170,92410,84940,60980,108130
10,7,New York City Region, 43-9199,"Office and Administrative Support Workers, All Other",13580,39120,38500,36840,40260
10,10,Western New York Region, 13-2052, Personal Financial Advisors,860,129910,104740,43160,173280
10,7,New York City Region, 11-9111, Medical and Health Services Managers,12480,147360,128850,85540,178270
10,4,Hudson Valley Region, 41-9041, Telemarketers,560,32860,24680,21632,38510
10,10,Western New York Region, 37-0000,Building and Grounds Cleaning and Maintenance Occupations,20840,30550,27470,22240,34710
10,5,Long Island Region, 37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",n/a,33540,31450,29750,35430
10,6,Mohawk Valley Region, 37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",90,42360,39230,35130,45970
10,7,New York City Region, 21-1022, Healthcare Social Workers,5850,66900,66760,45660,77510
10,10,Western New York Region, 31-2012, Occupational Therapy Aides,n/a,37890,28560,22710,45480
10,4,Hudson Valley Region, 29-1011, Chiropractors,120,93080,76790,64870,107190
10,2,Central New York Region, 47-2071,"Paving, Surfacing, and Tamping Equipment Operators",250,69280,74990,38640,84590
10,1,Capital Region, 13-2052, Personal Financial Advisors,650,111960,88510,40290,147790
10,2,Central New York Region, 43-5081, Stock Clerks and Order Fillers,4630,27670,24140,21632,30740
1,36,New York State, 41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",n/a,37500,43510,22930,44770
10,8,North Country Region, 25-3021, Self-Enrichment Education Teachers,270,45280,39860,30230,52810
10,1,Capital Region, 41-3011, Advertising Sales Agents,390,74980,50630,31940,96500
10,6,Mohawk Valley Region, 31-9094, Medical Transcriptionists,80,37030,36300,27940,41570
10,10,Western New York Region, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2420,61600,59600,36120,74340
10,7,New York City Region, 43-9022, Word Processors and Typists,2010,49000,44540,33860,56560
10,8,North Country Region, 43-3011, Bill and Account Collectors,100,33580,33480,25900,37420
10,9,Southern Tier Region, 23-2093," Title Examiners, Abstractors, and Searchers",n/a,46670,44870,28620,55700
10,5,Long Island Region, 29-2021, Dental Hygienists,2300,86490,89410,72500,93490
10,4,Hudson Valley Region, 31-2021, Physical Therapist Assistants,670,60590,60010,46390,67690
10,9,Southern Tier Region, 17-3031, Surveying and Mapping Technicians,80,38450,34810,26150,44590
10,2,Central New York Region, 43-4061," Eligibility Interviewers, Government Programs",510,48160,47710,38140,53180
1,36,New York State, 47-2132," Insulation Workers, Mechanical",1020,70470,58360,33730,88840
10,5,Long Island Region, 25-1052," Chemistry Teachers, Postsecondary",160,94960,80900,51640,116620
10,9,Southern Tier Region, 43-9022, Word Processors and Typists,620,34870,34080,26540,39040
10,7,New York City Region, 29-1161, Nurse Midwives,270,105850,107550,85530,116010
1,36,New York State, 53-7051, Industrial Truck and Tractor Operators,16130,42300,39580,29190,48850
10,8,North Country Region, 45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",n/a,63190,65510,49970,69790
10,8,North Country Region, 27-1025, Interior Designers,n/a,54910,38970,35570,64580
10,6,Mohawk Valley Region, 33-3021, Detectives and Criminal Investigators,140,77930,82250,51190,91300
1,36,New York State, 33-3021, Detectives and Criminal Investigators,9290,90850,84720,53470,109540
10,10,Western New York Region, 19-1031, Conservation Scientists,n/a,66770,61820,46280,77010
1,36,New York State, 37-3019," Grounds Maintenance Workers, All Other",1980,27300,24560,23730,29090
10,10,Western New York Region, 53-7064," Packers and Packagers, Hand",1920,25890,23850,21790,27940
1,36,New York State, 31-2011, Occupational Therapy Assistants,2650,61360,60350,45020,69530
10,6,Mohawk Valley Region, 43-4121," Library Assistants, Clerical",220,27060,24090,21632,29820
10,5,Long Island Region, 43-9061," Office Clerks, General",26200,35410,32830,22880,41960
10,3,Finger Lakes Region, 49-9069,"Precision Instrument and Equipment Repairers, All Other",n/a,57240,57400,56180,57770
10,7,New York City Region, 00-0000,"Total, All Occupations",4210980,70230,50580,25470,92610
10,10,Western New York Region, 49-3093, Tire Repairers and Changers,210,30890,29400,23040,34810
10,1,Capital Region, 25-9031, Instructional Coordinators,920,68590,64270,44780,80500
10,3,Finger Lakes Region, 49-9044, Millwrights,n/a,64130,62740,50370,71010
10,10,Western New York Region, 43-9071," Office Machine Operators, Except Computer",220,39180,39320,27850,44850
10,7,New York City Region, 53-7081, Refuse and Recyclable Material Collectors,5270,64010,72730,39910,76060
10,2,Central New York Region, 11-9051,Food Service Managers,320,59160,52210,42350,67570
10,7,New York City Region, 13-1075, Labor Relations Specialists,3780,83840,69680,49180,101170
10,1,Capital Region, 49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",970,54820,53280,36970,63750
10,4,Hudson Valley Region, 17-2131, Materials Engineers,n/a,97930,97710,78920,107430
10,5,Long Island Region, 11-3011, Administrative Services Managers,2410,128900,117340,80340,153190
10,6,Mohawk Valley Region, 51-9123," Painting, Coating, and Decorating Workers",50,30360,28560,23240,33930
10,1,Capital Region, 43-9071," Office Machine Operators, Except Computer",250,32850,30010,24230,37160
10,8,North Country Region, 31-9096,Veterinary Assistants and Laboratory Animal Caretakers,20,25110,24170,23510,25910
