SOC,Occupation,Probability,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
25-4021,Librarians,0.65,2100,430,1800,1320,9200,2220,2270,410,1160,5970,3200,550,600,6070,2170,1430,1420,2240,1750,750,2940,4670,3110,1690,1450,2590,590,1040,720,1010,4980,780,11860,4530,450,3840,1470,1220,5100,690,1920,530,2610,10370,770,750,4100,3130,760,2180,400
25-4031,Library Technicians,0.99,830,260,1430,400,10190,2460,1650,260,550,2410,1630,200,580,6480,1980,1300,920,1010,2070,870,1880,3290,3560,1340,800,2390,380,680,450,630,2820,640,7390,2850,160,4000,1120,1800,2740,320,1400,650,1340,3740,560,550,2290,2870,320,2520,440
25-9011,Audio-Visual and Multimedia Collections Specialists,0.39,0,0,240,90,1740,0,240,60,40,0,530,0,0,470,210,90,120,0,0,0,210,300,120,470,130,140,0,0,0,40,70,0,680,120,0,480,150,70,430,0,140,0,130,1350,490,0,270,70,60,210,0
25-9021,Farm and Home Management Advisors,0.0075,390,0,110,240,0,0,0,80,0,600,80,0,40,240,550,210,300,570,0,0,0,0,0,80,360,0,0,420,30,0,100,0,160,280,210,0,50,350,0,0,0,130,210,450,0,0,390,90,310,60,160
25-9031,Instructional Coordinators,0.0042,1210,490,4610,1640,18570,3180,1270,840,1540,9820,5310,1260,500,4290,1690,1830,1000,2390,1910,530,6510,4010,4330,2970,1120,1990,260,590,270,680,2760,510,11650,4310,270,2930,1190,1040,5180,930,1950,370,1930,13500,1530,570,4650,1920,1530,1650,330
25-9041,Teacher Assistants,0.56,7580,4770,23290,10660,152710,18730,22140,3440,3770,44150,36000,6880,6980,58250,25730,19030,18910,16150,15200,7300,15760,37060,36780,32050,11100,18310,3870,10900,5900,8820,55490,7430,125830,30330,5480,35250,13000,16760,45630,5510,15410,3630,21590,84270,14590,5110,30360,35530,3630,23560,3190
27-1011,Art Directors,0.023,280,0,400,60,6500,750,640,40,650,1120,530,140,60,1730,300,170,330,230,220,100,340,1060,1070,760,110,870,0,230,190,100,570,90,7950,320,30,1170,140,980,1210,60,180,0,280,1740,350,80,680,770,40,500,0
27-1012,Craft Artists,0.035,110,0,110,0,350,80,0,0,0,250,200,50,50,280,110,40,0,0,0,0,120,0,180,70,70,0,0,60,0,0,40,0,300,60,0,200,60,0,80,0,40,0,0,560,60,50,0,160,0,130,50
27-1013,Fine Artists; Including Painters; Sculptors; and Illustrators,0.042,0,0,150,110,3070,130,120,0,0,580,310,0,0,270,70,50,40,90,40,40,120,170,350,120,30,170,80,60,0,0,210,70,1350,170,0,730,0,350,330,0,80,0,180,600,150,0,260,420,0,140,0
27-1014,Multimedia Artists and Animators,0.015,130,0,250,50,10910,290,510,0,110,1370,1430,40,60,1140,70,60,100,140,240,30,290,1050,460,390,0,360,30,90,160,50,340,90,1960,580,0,420,100,1070,500,0,190,40,190,1720,210,0,430,1800,0,240,0
27-1021,Commercial and Industrial Designers,0.037,240,0,180,100,3880,420,330,0,0,770,640,50,0,1450,700,400,170,270,350,150,290,770,6600,640,70,500,40,80,80,100,1050,40,2910,800,30,1210,240,330,880,240,710,80,440,1100,300,150,410,400,120,790,0
27-1022,Fashion Designers,0.021,0,0,0,0,6610,120,50,0,0,470,260,30,50,160,40,0,210,60,0,70,0,360,210,110,0,130,0,0,0,90,290,50,7590,180,0,0,0,240,230,0,30,0,60,460,50,30,50,280,0,140,0
27-1023,Floral Designers,0.047,620,70,400,320,3490,1100,450,110,120,2260,1110,140,240,2190,1370,600,520,570,790,240,660,1020,1160,980,330,1950,240,360,360,220,1380,220,2570,950,220,1760,600,750,1590,200,560,220,1010,3280,520,130,1080,1300,340,1200,160
27-1024,Graphic Designers,0.082,1520,270,3140,1080,29750,4430,2300,450,1650,12500,6390,480,1130,9630,4030,2330,2000,1870,1730,810,3260,5020,5830,5710,870,4120,620,1720,1780,940,5490,740,21440,5910,630,7140,1680,3520,8870,610,1840,650,3010,12110,2900,530,5450,5000,490,5000,320
27-1025,Interior Designers,0.022,490,40,780,210,7390,1580,810,180,880,4730,1700,70,150,2400,800,390,390,410,400,160,1300,1530,1480,770,230,1190,60,240,500,160,1720,120,2970,1120,200,1830,440,620,1520,170,470,140,840,4970,470,60,1210,1510,100,1200,40
27-1026,Merchandise Displayers and Window Trimmers,0.48,2870,190,4120,540,11020,1570,900,430,130,8490,4650,850,420,3480,1750,780,1130,1640,700,1100,1140,2010,5020,2480,680,2390,170,280,1740,630,3230,410,6670,2110,260,4840,960,1740,4840,230,1610,440,2230,12920,910,120,0,1880,660,2660,70
27-1027,Set and Exhibit Designers,0.0055,50,0,100,0,3420,60,170,0,250,280,840,60,0,410,70,0,30,0,0,0,200,190,100,240,0,210,0,0,290,0,40,110,2210,100,0,390,190,180,170,0,40,0,120,530,50,0,240,160,0,110,0
27-2011,Actors,0.37,0,50,1020,0,14840,320,660,0,340,790,2030,0,0,1290,340,0,150,0,1820,0,890,810,350,490,0,1520,0,0,180,0,340,0,11360,380,0,780,0,480,1110,0,230,0,610,1320,780,0,600,470,0,420,0
27-2012,Producers and Directors,0.022,550,150,1190,320,28230,1680,1930,80,1900,5960,4360,690,180,3290,960,660,530,920,960,250,1730,2430,2180,1070,270,1370,230,350,980,200,1670,350,23500,1940,220,1790,630,1050,2510,260,810,140,1380,5640,710,290,2030,2490,240,1180,100
27-2021,Athletes and Sports Competitors,0.28,0,0,320,0,940,480,410,0,0,1340,0,0,0,470,360,130,0,100,0,0,140,450,170,170,60,0,0,0,160,0,160,0,0,310,0,90,120,100,590,0,220,0,240,210,180,0,170,180,0,200,0
27-2022,Coaches and Scouts,0.013,3180,420,2970,1490,31020,7730,5280,680,440,7030,5050,990,1870,9230,6870,4810,3730,2240,1750,1860,2990,7290,11480,4050,1290,2970,1590,1300,1950,1240,5670,0,9720,5830,760,9730,2040,3510,7350,1260,2880,900,3510,12380,2160,1290,7970,11170,660,5040,630
27-2023,Umpires; Referees; and Other Sports Officials,0.98,90,240,410,0,1740,1280,300,90,0,670,150,0,0,1820,240,170,650,160,230,0,0,340,300,270,0,900,90,30,0,0,220,40,1790,610,120,340,0,190,300,0,60,0,560,970,0,60,650,400,130,510,0
27-2031,Dancers,0.13,0,0,0,0,1110,240,0,0,0,0,0,640,0,0,0,0,0,0,240,0,0,410,0,0,0,0,0,0,1130,0,270,0,940,150,0,310,0,0,150,40,40,0,110,760,220,0,80,0,0,0,0
27-2032,Choreographers,0.004,0,0,0,0,690,0,180,0,0,110,90,0,0,0,0,0,170,0,260,0,0,0,170,280,0,0,0,0,60,0,240,0,120,50,0,60,0,100,100,0,60,150,80,450,50,0,360,90,0,0,190
27-2041,Music Directors and Composers,0.015,60,0,110,60,2430,60,240,0,0,690,550,160,70,780,480,110,260,50,80,0,110,500,730,280,190,180,170,90,0,60,250,80,3480,200,0,1040,160,720,590,90,240,0,320,1150,220,60,580,200,0,210,0
27-2042,Musicians and Singers,0.074,120,0,0,0,7280,530,520,40,220,1740,730,610,0,1350,450,0,150,230,390,50,590,750,1490,510,0,560,150,220,570,0,870,0,6610,420,0,1530,390,1630,1120,310,540,0,1680,1600,340,0,800,1070,140,560,0
27-3011,Radio and Television Announcers,0.1,310,120,550,310,2940,480,240,0,190,1670,630,160,140,1260,600,380,440,660,340,170,320,500,760,760,240,960,210,500,260,100,320,220,2020,940,210,960,260,320,1290,80,250,390,810,2280,260,140,630,600,220,690,30
27-3012,Public Address System and Other Announcers,0.72,50,0,200,0,1020,100,40,0,0,450,130,0,80,430,130,70,30,0,210,0,30,260,270,390,0,130,0,0,180,0,220,0,620,170,90,210,0,0,230,0,40,0,220,850,0,0,0,0,0,260,0
27-3021,Broadcast News Analysts,0.067,240,0,140,30,490,90,0,0,100,430,0,0,0,240,110,0,0,70,90,0,0,130,60,50,60,120,0,0,40,0,230,0,930,100,0,210,110,0,30,0,110,0,0,50,60,0,60,0,0,80,0
27-3022,Reporters and Correspondents,0.11,430,120,620,310,3490,580,290,110,2390,2270,980,100,240,1480,890,800,490,630,440,190,410,1060,1350,760,230,480,250,490,270,230,1080,180,4050,1090,240,1640,480,580,1510,120,460,250,690,1890,310,140,760,760,330,950,190
27-3031,Public Relations Specialists,0.18,1820,470,3290,790,24690,4330,1450,600,16540,11210,4830,1160,540,5810,3110,1500,2020,1530,1670,1070,3430,6820,5290,4460,1370,5040,630,1520,1170,1220,4030,890,25460,4960,610,6430,2120,2570,8860,1150,2040,950,2220,25940,1650,1020,6920,5390,290,3670,390
27-3041,Editors,0.055,660,90,1120,490,10880,1860,960,130,3000,4340,2180,240,400,4700,1380,1070,550,780,490,430,2210,3430,1510,2880,380,950,240,460,460,440,2800,360,19890,1980,170,2250,750,810,3100,230,880,170,1150,5290,860,300,3530,1750,230,1800,140
27-3042,Technical Writers,0.89,660,70,970,170,6590,1270,690,140,800,2250,990,70,210,1680,730,500,540,290,220,100,1980,2700,1000,1200,90,1030,70,300,220,220,1860,300,2390,1570,70,1730,720,600,1600,170,480,100,670,3930,680,120,2590,1190,120,1120,0
27-3043,Writers and Authors,0.038,220,120,530,100,8380,640,620,50,1290,1830,770,120,130,1460,510,360,300,390,220,150,1110,1580,730,940,140,830,100,350,210,380,860,150,6790,830,210,1480,300,640,1490,100,220,50,700,2060,690,150,1310,1250,120,700,40
27-3091,Interpreters and Translators,0.38,230,60,2300,170,7890,1530,310,0,460,2770,1140,150,0,1390,770,540,590,430,70,150,890,1830,1040,1510,130,920,50,680,0,120,790,270,2720,1660,110,1750,320,1430,1000,90,490,190,620,4030,1270,160,2400,1260,110,1020,0
27-4011,Audio and Video Equipment Technicians,0.55,690,140,1440,240,15340,1030,1020,150,620,4250,2040,610,290,2590,920,280,340,320,700,70,1380,2020,1560,880,170,1190,140,410,2720,120,1550,280,6580,1010,170,990,590,540,2040,170,660,60,1740,4720,1290,90,1550,1340,140,390,70
27-4012,Broadcast Technicians,0.74,340,100,410,100,4130,680,580,0,650,1970,810,120,120,1180,610,440,190,300,180,180,350,880,780,530,130,450,160,190,140,140,760,160,4000,830,80,840,140,290,730,110,670,80,290,1920,140,50,640,530,150,830,230
27-4013,Radio Operators,0.98,0,0,0,0,40,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,120,0,30,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-4014,Sound Engineering Technicians,0.13,30,0,90,40,4980,210,280,0,100,570,550,0,0,320,80,60,0,40,270,0,290,300,130,140,0,140,0,0,0,0,530,50,2090,210,0,310,50,0,210,0,110,0,540,510,0,0,280,330,0,190,0
27-4021,Photographers,0.021,470,50,880,380,6630,690,610,80,180,3680,1310,440,180,2000,1080,550,420,470,360,110,970,1210,1340,920,200,1180,90,410,740,160,1350,230,3830,1730,80,1830,690,500,1660,200,550,110,930,3040,680,110,950,1280,140,920,60
27-4031,Camera Operators; Television; Video; and Motion Picture,0.6,190,0,310,80,6960,350,310,0,730,880,540,160,160,560,230,80,70,240,430,100,280,550,310,230,40,210,90,130,450,180,400,40,1620,270,40,490,150,100,630,0,130,80,440,1330,200,90,250,260,60,190,40
27-4032,Film and Video Editors,0.31,110,0,330,100,13420,300,300,0,150,1380,1010,0,50,400,100,50,60,90,210,0,130,390,510,260,0,320,80,100,260,50,620,30,4860,420,0,390,130,220,430,0,90,0,440,950,200,0,290,220,0,120,0
29-1011,Chiropractors,0.027,270,90,860,330,2970,970,200,130,0,2070,1060,80,230,1650,540,730,510,400,400,140,470,580,1440,850,110,590,200,420,260,90,740,90,1840,780,250,1170,410,660,1460,110,470,160,400,2150,370,70,810,910,90,1290,80
29-1021,Dentists; General,0.0044,1130,270,2480,700,14950,2020,1140,340,260,5900,2530,550,370,4540,1970,1040,1050,840,870,370,2390,3210,4000,1700,770,1680,390,620,910,490,3190,780,7710,3190,210,3220,1270,1430,4250,280,1450,350,1040,8420,1130,170,2950,2290,460,2150,230
29-1022,Oral and Maxillofacial Surgeons,0.0036,0,0,0,0,620,0,60,0,0,0,0,0,0,0,180,0,0,70,0,0,0,260,60,0,0,0,0,40,0,0,0,0,660,0,0,220,190,0,130,0,0,30,100,670,0,0,160,0,0,0,0
29-1023,Orthodontists,0.023,0,0,0,30,710,0,0,0,0,510,0,0,70,250,100,0,0,120,0,0,260,320,90,0,70,0,0,0,0,0,190,0,150,150,0,260,0,0,120,0,0,0,40,360,0,0,0,0,0,0,0
29-1024,Prosthodontists,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-1031,Dietitians and Nutritionists,0.0039,850,150,1200,460,7860,910,770,180,250,2950,1760,400,270,2210,1100,650,600,850,850,230,1010,1880,1760,1190,510,1410,180,550,330,260,1790,360,4960,1910,270,2340,730,720,2860,170,900,170,990,4610,630,200,1220,1160,360,1410,90
29-1041,Optometrists,0.14,550,70,670,320,3750,930,220,120,100,1940,950,200,240,2490,730,360,500,490,190,140,600,1020,1240,700,200,800,130,350,280,160,1060,190,2690,930,190,1130,660,570,1610,180,500,120,640,2410,420,90,1240,660,150,450,90
29-1051,Pharmacists,0.012,5430,470,5760,3520,28670,5510,2730,1110,800,21490,9630,1560,1440,12010,6360,3480,3010,4450,4550,1420,6490,7920,9050,6050,2740,6570,1080,2360,2340,1110,8700,1800,20440,9550,760,12590,3760,3990,13460,1440,4800,1240,7980,21560,2560,490,7000,5900,2290,5560,540
29-1060,Physicians and Surgeons,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-1071,Physician Assistants,0.14,700,430,2460,580,10090,2850,1900,440,410,5290,3770,260,550,2850,1090,1090,1050,1000,570,800,2740,2620,4550,1910,190,1010,480,940,540,600,2350,710,12080,4480,250,3180,1440,1230,5550,290,1250,520,1570,6650,1000,320,2450,2330,730,1740,220
29-1081,Podiatrists,0.0046,90,0,230,70,720,0,110,80,60,820,280,0,0,450,200,100,70,110,70,40,230,220,450,130,0,140,0,40,30,0,460,60,1140,220,0,670,110,50,530,40,90,0,100,580,100,0,220,90,0,120,0
29-1111,Registered Nurses,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-1122,Occupational Therapists,0.0035,1080,270,1550,1030,10390,2670,1940,300,430,6140,2820,280,400,4800,2670,1050,1170,1630,1660,910,2710,4940,4810,2370,910,2490,370,980,680,1120,4270,670,8130,3150,470,4620,930,1080,6450,440,1280,350,1970,9160,840,270,2850,2630,690,2970,270
29-1123,Physical Therapists,0.021,2460,460,3150,1940,19910,4740,3800,760,670,12480,5240,890,1000,11030,4570,1850,1710,2480,2970,1390,4850,8420,8300,4030,1700,4010,950,1600,1580,1520,6920,1300,16390,5990,640,7570,1920,2660,10700,910,2670,730,4330,14910,1720,740,5790,4550,1190,4440,420
29-1124,Radiation Therapists,0.34,360,0,470,310,980,250,200,60,120,1190,610,0,60,840,410,190,120,210,360,50,230,600,420,250,160,320,60,130,80,130,450,30,1540,530,0,580,360,220,710,0,200,30,520,1360,130,40,400,470,0,390,0
29-1125,Recreational Therapists,0.0028,120,0,480,60,1710,110,470,50,200,580,480,70,80,1120,410,210,320,120,290,80,350,870,600,550,230,530,50,200,110,100,490,110,1640,440,60,350,170,140,1280,60,200,50,350,790,360,40,370,240,50,290,50
29-1126,Respiratory Therapists,0.066,2300,160,2290,870,16560,1810,1210,360,380,8590,3710,320,550,5010,3890,920,1120,2510,2190,470,1500,2660,4120,1620,1540,2470,430,940,960,410,3020,780,5840,3940,300,6490,1140,1300,5390,360,1710,330,3810,11700,940,210,2470,2230,860,1920,210
29-1127,Speech-Language Pathologists,0.0064,1560,310,2160,1900,11430,3190,1910,380,380,7260,3500,570,470,6040,2440,1340,1370,2100,2420,720,2500,4140,3130,2520,1410,2930,440,970,760,610,5210,920,11360,4040,560,5170,1600,1680,5310,330,1450,370,2490,13520,1170,380,3140,2850,1040,2250,310
29-1131,Veterinarians,0.038,860,190,1490,610,6360,2050,740,200,110,3610,1900,250,460,2620,1180,1270,720,1020,730,340,1540,1590,2080,1510,450,1580,420,740,490,400,1630,400,3030,2830,240,2910,950,1370,3030,190,780,240,1230,4450,360,220,2520,1580,300,1680,200
29-1181,Audiologists,0.0033,70,0,290,60,880,290,90,50,100,670,540,0,0,410,300,160,160,0,140,40,160,410,410,190,110,200,80,80,150,60,320,0,920,400,50,540,110,210,580,0,110,0,320,970,150,0,360,420,110,160,0
29-1199,Health Diagnosing and Treating Practitioners; All Other,0.02,0,200,470,130,3670,940,340,30,440,2920,2080,260,90,1990,1550,520,110,220,130,150,5140,660,520,1360,110,180,200,110,260,190,1080,210,2110,620,90,1080,90,930,450,0,170,50,370,1310,150,120,330,1180,110,520,40
29-2011,Medical and Clinical Laboratory Technologists,0.9,2550,230,4200,1040,11780,2620,2350,440,750,10150,4710,640,580,6070,3920,1230,1690,1760,2650,900,3840,6210,7090,4050,1490,3780,540,1460,820,580,4990,680,10380,5020,700,6860,2030,2170,7970,500,2820,760,4620,12380,2280,180,4340,3380,830,3430,290
29-2012,Medical and Clinical Laboratory Technicians,0.47,2170,420,3180,1360,18580,2000,1610,160,480,7070,5180,720,570,5440,3150,1330,1420,2200,2540,420,5310,5320,6390,3480,1670,4730,470,1400,820,290,3080,560,7740,5300,270,6350,2160,1460,7590,420,2050,370,7480,11780,2320,250,4060,3250,830,2850,160
29-2021,Dental Hygienists,0.68,3380,480,2410,1430,21490,4580,3810,640,390,11010,5980,910,1510,8250,5010,2470,2380,2230,2000,1230,3560,5920,9880,4800,1250,3110,770,1240,1920,1250,5790,1190,10750,6200,690,7870,2020,3870,9740,1070,2720,620,4000,12500,2650,740,4970,5800,1020,5000,490
29-2031,Cardiovascular Technologists and Technicians,0.23,580,80,860,590,4180,550,340,300,140,4270,1740,230,340,2150,1180,390,370,1060,900,190,1330,1600,2100,960,510,1080,140,600,430,180,780,300,3110,1240,110,2320,580,660,2850,0,820,240,1100,5160,340,50,1610,960,500,1330,50
29-2032,Diagnostic Medical Sonographers,0.35,1100,70,1480,490,5640,880,1030,160,150,5120,1640,170,280,2450,970,860,540,840,940,190,1370,1940,2430,1540,690,1290,190,480,720,210,2280,500,4730,1750,120,2160,900,690,2530,360,720,360,1900,5190,510,80,1610,1440,490,1540,70
29-2033,Nuclear Medicine Technologists,0.13,350,40,290,180,1600,260,210,60,50,1660,490,80,90,780,390,150,140,290,420,70,420,730,710,240,230,410,50,130,130,60,550,120,1260,530,0,910,320,150,900,40,270,150,670,1330,130,0,750,380,150,310,0
29-2037,Radiologic Technologists and Technicians,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-2041,Emergency Medical Technicians and Paramedics,0.049,4010,330,4050,2120,18110,4290,3280,1450,1440,10330,9030,840,930,12610,5870,2620,2730,4770,0,1620,4750,6220,6580,5190,2210,6230,550,0,1590,1220,7750,1790,14740,9880,1040,11160,3460,1900,11770,720,5110,940,6620,18630,1860,480,5110,3540,2360,6580,710
29-2051,Dietetic Technicians,0.13,120,0,1110,160,4170,260,470,120,70,1140,840,80,100,3730,370,450,120,100,520,110,260,2040,1060,350,240,590,70,190,100,80,470,100,940,280,410,670,700,140,2390,100,900,0,630,2870,680,40,680,540,360,270,0
29-2052,Pharmacy Technicians,0.92,7290,680,9420,3960,34870,5110,3760,1460,950,27660,11980,1810,1760,19330,9830,4330,4360,8420,6150,2040,7300,8700,12230,7680,3760,10240,1150,2570,3380,1480,9500,2580,17660,14280,730,16290,5380,4520,16460,1530,6470,1250,12740,33030,3940,530,9070,7330,3110,7780,570
29-2053,Psychiatric Technicians,0.043,1030,290,1540,820,7950,780,1040,0,130,9060,680,0,390,3780,1710,170,780,340,1210,350,460,1840,1140,280,440,1440,0,290,180,0,290,1270,1530,1310,40,1200,710,730,2020,270,690,0,650,3810,820,240,3440,650,1600,1750,0
29-2054,Respiratory Therapy Technicians,0.1,220,0,380,360,830,0,0,0,140,490,390,120,0,470,160,110,90,180,490,0,410,260,160,60,360,820,0,50,120,0,140,0,280,60,0,220,250,50,320,30,180,0,190,1350,0,0,50,80,150,130,0
29-2055,Surgical Technologists,0.34,2050,90,2150,1070,9750,1530,990,340,280,6940,3530,350,640,2780,2820,710,880,1800,2020,440,2030,3890,3500,2100,1330,1730,430,640,880,430,1960,410,5560,2780,300,4050,1500,1410,3770,290,1760,500,3130,10800,1150,80,2430,2150,890,2500,180
29-2056,Veterinary Technologists and Technicians,0.029,980,190,1790,350,9070,3660,1720,380,120,8510,2940,350,580,3840,1370,740,600,1480,1120,740,2890,2940,3000,2460,630,1530,340,710,590,890,2900,750,4280,3080,200,3370,840,1770,5060,290,1740,260,1280,9490,1030,410,1650,1760,440,2050,240
29-2061,Licensed Practical and Licensed Vocational Nurses,0.058,13030,500,6100,12100,68110,5010,7780,2120,1720,44820,26510,1280,2390,20140,16090,6340,7380,10520,20580,1250,11640,15890,14980,17070,8990,15810,2490,5100,2570,2290,16360,2100,46990,17930,2670,39920,11580,2780,38020,1060,9440,1820,23620,70810,1910,1350,21410,7250,6090,7990,680
29-2071,Medical Records and Health Information Technicians,0.91,2670,640,5740,1870,20840,2780,1710,410,510,10600,5860,630,1010,8140,3850,2150,2120,4530,2850,1320,4080,5640,5240,3950,2490,5120,1080,1630,1720,980,1880,1420,8800,5620,890,9240,3960,3340,7610,660,2590,1080,5230,17110,1600,480,5030,4510,1290,5290,340
29-2081,Opticians; Dispensing,0.71,1210,140,1870,460,8040,1330,880,430,290,4930,1460,450,420,3200,1750,780,920,810,1220,330,1270,1520,3370,2080,370,1530,310,740,430,510,1540,290,3450,1620,340,2930,810,1280,3310,260,1090,420,1710,6430,640,100,2210,1380,330,1810,240
29-2091,Orthotists and Prosthetists,0.0035,130,0,0,50,560,100,110,40,0,320,230,0,50,240,220,50,50,110,100,0,70,230,460,290,90,100,40,50,70,0,170,40,440,440,0,0,100,80,280,0,210,30,80,330,0,0,110,190,0,0,0
29-2799,Health Technologists and Technicians; All Other,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-9011,Occupational Health and Safety Specialists,0.17,1050,520,1200,500,6260,1550,660,370,410,2230,1110,460,340,2070,2140,670,780,1650,1290,250,1250,1170,1670,1590,490,1560,510,640,570,320,2070,870,3230,1790,380,3790,1350,860,3160,90,2150,170,2140,11560,720,100,2670,2160,610,1110,380
29-9012,Occupational Health and Safety Technicians,0.25,100,100,260,180,1290,210,140,50,50,510,290,0,80,590,400,240,130,330,680,50,230,170,230,200,200,410,80,130,150,0,230,80,730,290,140,790,210,110,750,50,360,0,550,3150,170,0,390,470,110,260,70
29-9091,Athletic Trainers,0.0071,420,0,610,130,1450,390,370,140,70,1150,510,170,0,1130,590,260,260,430,190,140,210,630,930,760,280,480,110,160,50,160,630,0,1250,640,50,1190,370,140,1480,90,310,120,450,2820,190,70,780,290,130,720,60
29-9799,Healthcare Practitioners and Technical Workers; All Other,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-1011,Home Health Aides,0.39,5060,1370,12930,6770,25910,13230,6900,1690,4910,25560,10920,4200,2040,38730,13020,5630,4100,2540,8310,2890,11740,27020,30420,25200,4470,10800,1340,1850,1430,1280,38510,8050,173830,39320,1420,65710,7840,5900,42890,3470,10130,690,5950,67180,2800,540,11340,6780,3860,4940,880
31-1013,Psychiatric Aides,0.47,1930,0,0,290,2260,270,1450,0,270,1760,920,360,0,930,1090,280,1100,780,1210,600,380,1120,2600,0,3570,2180,960,530,440,360,2970,0,5900,1650,130,1310,850,1680,2160,640,800,220,2550,13610,0,0,1360,310,1310,0,100
31-2011,Occupational Therapy Assistants,0.028,500,0,490,270,1900,550,480,90,40,2280,780,60,90,2460,1180,420,490,500,620,150,560,1270,1140,500,280,970,60,200,130,190,360,140,2300,1360,100,3480,490,230,2350,240,350,90,930,3750,140,80,1040,380,310,1320,80
31-2012,Occupational Therapy Aides,0.27,110,0,130,40,890,70,80,0,60,70,240,0,0,1720,100,50,40,60,180,0,110,310,60,0,0,0,0,60,0,70,50,0,400,110,40,70,120,0,600,0,80,0,0,400,130,0,170,80,80,50,0
31-2021,Physical Therapist Assistants,0.018,1900,70,1540,1030,5040,1160,730,250,150,5340,1930,290,310,4860,2270,960,1100,1770,1450,250,1480,2420,3960,1450,920,1920,150,670,510,580,1280,390,4200,2550,140,6210,1090,630,4510,340,1140,220,2730,6780,640,150,2550,1170,800,1460,150
31-2022,Physical Therapist Aides,0.61,570,30,750,280,6300,450,540,440,80,2480,840,190,370,2960,630,330,420,690,1160,90,1590,1110,1620,320,380,510,60,530,360,200,3480,210,2940,800,120,910,500,590,2210,270,650,130,1690,5650,780,80,1260,800,120,400,140
31-9011,Massage Therapists,0.54,400,770,2330,280,16090,4950,1620,90,0,8220,2260,1390,260,3530,1210,820,510,550,440,310,1770,1870,2230,2190,160,920,140,360,1580,510,3460,310,4180,3040,140,1930,410,1990,3230,200,1100,90,1070,6790,1070,330,2470,4030,250,1850,120
31-9091,Dental Assistants,0.51,3250,1360,6710,2630,48350,6690,3830,850,650,17970,9760,1600,2110,12280,5430,2970,2940,4440,3790,1170,5690,7690,9480,5630,2240,5500,1350,2180,2570,1300,10180,2530,20050,8930,690,10570,4130,5270,11690,890,3920,840,5400,28210,5010,510,8230,10320,1160,5690,640
31-9092,Medical Assistants,0.3,7290,1500,17520,3060,83230,9870,7430,2130,1640,50550,20980,3140,3020,20620,12330,4900,4580,8220,6830,3450,10800,16370,22300,9550,2650,9050,1230,3050,6590,2540,18170,4350,23870,16220,680,22950,8920,10590,26760,2510,9260,1030,14430,57960,7180,650,12510,12950,3750,11810,630
31-9093,Medical Equipment Preparers,0.78,1150,110,1330,200,6600,980,390,170,260,3860,1220,240,230,1910,780,430,290,590,310,500,1300,1610,1890,1250,290,1220,190,340,260,280,2570,150,2720,1520,230,2210,370,1220,1980,150,510,150,820,3170,470,100,910,1760,380,870,80
31-9094,Medical Transcriptionists,0.89,610,120,810,520,3880,800,570,160,40,5300,1530,150,570,1610,1110,1010,720,850,1090,290,700,730,1860,1370,440,1190,240,470,380,250,1240,220,2190,1190,310,2100,360,1070,2530,120,760,610,1490,4680,290,160,1850,1620,390,1470,80
31-9095,Pharmacy Aides,0.72,620,80,0,530,10390,150,120,0,0,2290,950,120,70,760,240,370,830,200,750,90,0,740,560,450,190,1010,80,230,110,0,350,100,2480,430,380,760,860,220,1640,0,220,0,820,2320,350,210,570,1150,370,640,40
